;;;;;;;;;;;;;x
return_cores_GLM_title;Return cores to Galicia-Lodomeria ;;;;;;;;;;;;x,,
return_cores_GLM_desc;We hold provinces that Galicia-Lodomeria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_IBR_title;Return cores to Iberia ;;;;;;;;;;;;x,,
return_cores_IBR_desc;We hold provinces that Iberia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LOR_title;Return cores to Lorraine ;;;;;;;;;;;;x,,
return_cores_LOR_desc;We hold provinces that Lorraine has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MCD_title;Return cores to Macedonia ;;;;;;;;;;;;x,,
return_cores_MCD_desc;We hold provinces that Macedonia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MLT_title;Return cores to Malta ;;;;;;;;;;;;x,,
return_cores_MLT_desc;We hold provinces that Malta has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_RMG_title;Return cores to Romagna ;;;;;;;;;;;;x,,
return_cores_RMG_desc;We hold provinces that Romagna has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SPC_title;Return cores to Carlist Spain ;;;;;;;;;;;;x,,
return_cores_SPC_desc;We hold provinces that Carlist Spain has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SRD_title;Return cores to Sardinia ;;;;;;;;;;;;x,,
return_cores_SRD_desc;We hold provinces that Sardinia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SVY_title;Return cores to Savoy ;;;;;;;;;;;;x,,
return_cores_SVY_desc;We hold provinces that Savoy has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SWH_title;Return cores to Schleswig-Holstein ;;;;;;;;;;;;x,,
return_cores_SWH_desc;We hold provinces that Schleswig-Holstein has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_WHA_title;Return cores to Wales ;;;;;;;;;;;;x,,
return_cores_WHA_desc;We hold provinces that Wales has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DNB_title;Return cores to Danubian Federation ;;;;;;;;;;;;x,,
return_cores_DNB_desc;We hold provinces that Danubian Federation has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LUZ_title;Return cores to Luzica ;;;;;;;;;;;;x,,
return_cores_LUZ_desc;We hold provinces that Luzica has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_RHI_title;Return cores to Rhineland ;;;;;;;;;;;;x,,
return_cores_RHI_desc;We hold provinces that Rhineland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PML_title;Return cores to Pomerelia ;;;;;;;;;;;;x,,
return_cores_PML_desc;We hold provinces that Pomerelia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PZN_title;Return cores to Poznan ;;;;;;;;;;;;x,,
return_cores_PZN_desc;We hold provinces that Poznan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SLS_title;Return cores to Silesia ;;;;;;;;;;;;x,,
return_cores_SLS_desc;We hold provinces that Silesia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_WES_title;Return cores to Westfalen ;;;;;;;;;;;;x,,
return_cores_WES_desc;We hold provinces that Westfalen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AKH_title;Return cores to Astrakhan ;;;;;;;;;;;;x,,
return_cores_AKH_desc;We hold provinces that Astrakhan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ALT_title;Return cores to Altai Republic ;;;;;;;;;;;;x,,
return_cores_ALT_desc;We hold provinces that Altai Republic has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CPL_title;Return cores to Congress Poland ;;;;;;;;;;;;x,,
return_cores_CPL_desc;We hold provinces that Congress Poland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DON_title;Return cores to Cossackia ;;;;;;;;;;;;x,,
return_cores_DON_desc;We hold provinces that Cossackia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_IZH_title;Return cores to Ingria ;;;;;;;;;;;;x,,
return_cores_IZH_desc;We hold provinces that Ingria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KAZ_title;Return cores to Kazakhstan ;;;;;;;;;;;;x,,
return_cores_KAZ_desc;We hold provinces that Kazakhstan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KAM_title;Return cores to Kamchatka ;;;;;;;;;;;;x,,
return_cores_KAM_desc;We hold provinces that Kamchatka has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KMK_title;Return cores to Kalmykia ;;;;;;;;;;;;x,,
return_cores_KMK_desc;We hold provinces that Kalmykia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KRL_title;Return cores to Karelia ;;;;;;;;;;;;x,,
return_cores_KRL_desc;We hold provinces that Karelia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SIB_title;Return cores to Siberian Republic ;;;;;;;;;;;;x,,
return_cores_SIB_desc;We hold provinces that Siberian Republic has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TAR_title;Return cores to Tatarstan ;;;;;;;;;;;;x,,
return_cores_TAR_desc;We hold provinces that Tatarstan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TNT_title;Return cores to Tannu Tuva ;;;;;;;;;;;;x,,
return_cores_TNT_desc;We hold provinces that Tannu Tuva has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_URA_title;Return cores to Ural Republic ;;;;;;;;;;;;x,,
return_cores_URA_desc;We hold provinces that Ural Republic has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_YAK_title;Return cores to Yakutia ;;;;;;;;;;;;x,,
return_cores_YAK_desc;We hold provinces that Yakutia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ARU_title;Return cores to Arab Union ;;;;;;;;;;;;x,,
return_cores_ARU_desc;We hold provinces that Arab Union has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ASY_title;Return cores to Assyria ;;;;;;;;;;;;x,,
return_cores_ASY_desc;We hold provinces that Assyria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BHR_title;Return cores to Bahrain ;;;;;;;;;;;;x,,
return_cores_BHR_desc;We hold provinces that Bahrain has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CIR_title;Return cores to Circassia ;;;;;;;;;;;;x,,
return_cores_CIR_desc;We hold provinces that Circassia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CLC_title;Return cores to Cilicia ;;;;;;;;;;;;x,,
return_cores_CLC_desc;We hold provinces that Cilicia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DAG_title;Return cores to Dagestan ;;;;;;;;;;;;x,,
return_cores_DAG_desc;We hold provinces that Dagestan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DUR_title;Return cores to Durrani Empire ;;;;;;;;;;;;x,,
return_cores_DUR_desc;We hold provinces that Durrani Empire has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HAL_title;Return cores to Hail ;;;;;;;;;;;;x,,
return_cores_HAL_desc;We hold provinces that Hail has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HTY_title;Return cores to Hatay ;;;;;;;;;;;;x,,
return_cores_HTY_desc;We hold provinces that Hatay has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_JOR_title;Return cores to Jordan ;;;;;;;;;;;;x,,
return_cores_JOR_desc;We hold provinces that Jordan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KDS_title;Return cores to Kurdistan ;;;;;;;;;;;;x,,
return_cores_KDS_desc;We hold provinces that Kurdistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KWT_title;Return cores to Kuwait ;;;;;;;;;;;;x,,
return_cores_KWT_desc;We hold provinces that Kuwait has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KYR_title;Return cores to Kyrgyzstan ;;;;;;;;;;;;x,,
return_cores_KYR_desc;We hold provinces that Kyrgyzstan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_LBN_title;Return cores to Lebanon ;;;;;;;;;;;;x,,
return_cores_LBN_desc;We hold provinces that Lebanon has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NYE_title;Return cores to North Yemen ;;;;;;;;;;;;x,,
return_cores_NYE_desc;We hold provinces that North Yemen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PLS_title;Return cores to Palestine ;;;;;;;;;;;;x,,
return_cores_PLS_desc;We hold provinces that Palestine has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PNT_title;Return cores to Pontus ;;;;;;;;;;;;x,,
return_cores_PNT_desc;We hold provinces that Pontus has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SYR_title;Return cores to Syria ;;;;;;;;;;;;x,,
return_cores_SYR_desc;We hold provinces that Syria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TAJ_title;Return cores to Tajikstan ;;;;;;;;;;;;x,,
return_cores_TAJ_desc;We hold provinces that Tajikstan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TCA_title;Return cores to Transcaucasia ;;;;;;;;;;;;x,,
return_cores_TCA_desc;We hold provinces that Transcaucasia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TKM_title;Return cores to Turkmenistan ;;;;;;;;;;;;x,,
return_cores_TKM_desc;We hold provinces that Turkmenistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TKS_title;Return cores to Turkestan ;;;;;;;;;;;;x,,
return_cores_TKS_desc;We hold provinces that Turkestan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_UYG_title;Return cores to Uyghurstan ;;;;;;;;;;;;x,,
return_cores_UYG_desc;We hold provinces that Uyghurstan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_UZB_title;Return cores to Uzbekistan ;;;;;;;;;;;;x,,
return_cores_UZB_desc;We hold provinces that Uzbekistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ASM_title;Return cores to Assam ;;;;;;;;;;;;x,,
return_cores_ASM_desc;We hold provinces that Assam has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BIH_title;Return cores to Bihar ;;;;;;;;;;;;x,,
return_cores_BIH_desc;We hold provinces that Bihar has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BLC_title;Return cores to Baluchistan ;;;;;;;;;;;;x,,
return_cores_BLC_desc;We hold provinces that Baluchistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BNG_title;Return cores to Bengal ;;;;;;;;;;;;x,,
return_cores_BNG_desc;We hold provinces that Bengal has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_DRA_title;Return cores to Dravidistan ;;;;;;;;;;;;x,,
